((('appCat.social', 'appCat.unknown'), 'svr'), 1.2384870419361158)
((('appCat.social', 'appCat.utilities'), 'svr'), 1.2384870419361158)
((('appCat.social', 'call'), 'svr'), 1.2384870419361158)
((('appCat.social', 'screen'), 'svr'), 1.2384870419361158)
((('appCat.social', 'sms'), 'svr'), 1.2384870419361158)
((('appCat.travel', 'appCat.unknown'), 'svr'), 1.2384870419361158)
((('appCat.travel', 'screen'), 'svr'), 1.2384870419361158)
((('appCat.unknown', 'screen'), 'svr'), 1.2384870419361158)
((('appCat.utilities', 'screen'), 'svr'), 1.2384870419361158)
((('call', 'screen'), 'svr'), 1.2384870419361158)
((('screen', 'sms'), 'svr'), 1.2384870419361158)
((('appCat.unknown', 'sms'), 'svr'), 1.238487397453195)
((('appCat.travel', 'call'), 'svr'), 1.2385032933778946)
((('appCat.travel', 'appCat.utilities'), 'svr'), 1.238625060767666)
((('circumplex.valence', 'appCat.travel'), 'svr'), 1.2507155908355405)
((('activity', 'circumplex.valence'), 'svr'), 1.255106003522225)
((('mood', 'appCat.travel'), 'svr'), 1.2556430146334407)
((('circumplex.arousal', 'appCat.travel'), 'svr'), 1.2567722251682922)
((('activity', 'circumplex.arousal'), 'svr'), 1.2601380590725524)
((('appCat.travel',), 'svr'), 1.2711043739979428)
((('appCat.game', 'appCat.utilities'), 'svr'), 1.2801804188496784)
((('activity', 'appCat.travel'), 'svr'), 1.2829525907277282)
((('mood',), 'svr'), 1.306928403153507)
((('circumplex.valence', 'appCat.game'), 'svr'), 1.307514465661227)
((('circumplex.valence',), 'svr'), 1.3253912519598139)
((('circumplex.arousal', 'mood'), 'svr'), 1.3315366715825585)
((('appCat.utilities',), 'svr'), 1.3350662789379815)
((('appCat.utilities', 'call'), 'svr'), 1.3449087359130651)
((('activity', 'mood'), 'svr'), 1.3648480248633932)
((('activity', 'appCat.utilities'), 'svr'), 1.3681454626426253)
((('circumplex.valence', 'mood'), 'svr'), 1.3779526043235537)
((('mood', 'appCat.game'), 'svr'), 1.3868708005190644)
((('mood', 'call'), 'svr'), 1.439108252153175)
((('circumplex.arousal', 'appCat.utilities'), 'svr'), 1.4656505456104796)
((('mood', 'appCat.utilities'), 'svr'), 1.4710468243456487)
((('circumplex.valence', 'appCat.utilities'), 'svr'), 1.4903955332655623)
((('circumplex.arousal', 'call'), 'svr'), 1.620525321259698)
((('appCat.game', 'call'), 'svr'), 1.64069472336679)
((('circumplex.valence', 'call'), 'svr'), 1.6886500982870556)
((('call',), 'svr'), 1.7862076953443928)
((('activity', 'call'), 'svr'), 1.858520447181484)
