time,activity,circumplex.arousal,circumplex.valence,mood,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,screen,sms
2014-03-21,,0.0,1.0,7.0,29.307000000000002,1221.0810000000004,1447.4559999999997,,,2.113,216.908,,,,2.02,,3.0,3007.833998918533,1.0
2014-03-22,0.06284722222222221,0.0,0.6666666666666666,7.0,149.05999999999997,2687.0550000000003,4606.764999999997,,,13.309000000000001,147.031,122.56800000000001,193.317,,1.003,3.02,,4706.241000652313,
2014-03-23,0.03333333333333332,0.75,0.25,6.75,299.25399999999996,3187.773,35937.645000000004,,,,68.39899999999999,18.333,193.588,,3.0540000000000003,,,7160.279999732973,1.0
2014-03-24,0.07916666666666668,0.5,0.5,7.25,60.258,3151.8010000000013,1067.7350000000001,54.492000000000004,,4.090999999999999,83.63300000000001,903.1550000000001,250.54899999999998,324.702,20.666999999999998,,,5929.984000682831,
2014-03-25,0.025694444444444447,0.4,-0.2,6.2,327.622,2417.235000000001,3985.338999999997,106.12,,10.256,72.38,122.999,32.474000000000004,,3.016,17.433,1.0,7212.193001270292,
2014-03-26,0.0863155761862658,0.5,0.75,7.75,625.4370000000001,1505.1810000000003,2757.0009999999997,61.349,,1.004,46.913,318.847,,,75.999,,3.0,8552.027000188831,2.0
2014-03-27,0.027083333333333348,-0.4,0.8,7.8,210.58200000000002,790.652,2440.000000000001,,,,96.62199999999999,501.6170000000001,1.01,112.478,,14.395999999999999,1.0,4169.42199897766,
2014-03-28,0.07977843915343913,-0.25,1.0,8.25,509.971,2641.9620000000004,5631.858000000001,56.071000000000005,,6.096,245.898,293.719,983.7690000000001,17.192,70.972,,4.0,10467.48400187493,
2014-03-29,0.08229166666666667,-0.4,1.0,8.0,454.9119999999999,3478.223000000002,3166.781,,,,63.888999999999996,188.847,157.702,,3.242,,5.0,7516.976999044418,
2014-03-30,0.11195652173913047,-1.0,1.0,7.75,1384.013,3493.521,3177.5580000000023,21.601,,,41.815,491.89300000000003,,,4.061,50.67,2.0,8669.2909989357,1.0
2014-03-31,0.08333333333333336,-0.2,0.2,7.0,623.375,3363.608,2077.0020000000004,97.282,,4.1,49.509,10.145,576.3829999999999,,4.043,,3.0,6808.904999494551,
2014-04-01,0.07986111111111115,0.0,0.6,7.6,2289.1389999999997,5259.524999999999,4216.561000000001,123.632,,,64.097,107.098,137.18,729.504,5.071000000000001,,5.0,12936.086001157757,
2014-04-02,0.041386554621848724,0.2,0.0,6.2,1302.409,698.0930000000001,1408.9719999999998,,,,78.42599999999999,33.83,,,59.26199999999999,32.864000000000004,2.0,3616.184999942782,
2014-04-03,0.18090277777777775,0.0,0.6,7.6,588.2239999999999,2006.619,1529.534,97.29,,4.04,90.741,209.625,1508.7710000000002,80.247,,,3.0,6119.871999502182,
2014-04-04,0.07604166666666665,-0.75,0.75,7.25,276.152,3102.533999999999,2802.714000000001,47.772000000000006,175.019,,61.001,166.31900000000002,275.002,,3.0869999999999997,,3.0,6912.645999670028,1.0
2014-04-05,0.11562500000000003,0.0,0.75,7.5,53.05099999999999,3022.0789999999997,2117.323,,80.992,1.012,76.69700000000002,109.2,,,1.0070000000000001,,,5465.093000888824,
2014-04-06,0.13888888888888887,-0.4,0.8,6.8,269.692,2888.572,3578.599000000001,51.71,,4.025,52.748999999999995,260.428,,4.098,22.322000000000003,24.224,,7160.648002386094,
2014-04-07,0.07812500000000004,-0.5,0.0,6.2,174.613,2635.4200000000005,1657.5469999999993,76.338,,3.043,63.722,301.159,348.162,,,90.352,,5353.679001808165,
2014-04-08,0.08645833333333332,0.0,0.6,7.2,219.268,1722.9770000000003,17314.980999999996,160.191,,1.032,65.994,34.371,389.942,,,,,4055.7270002365126,1.0
